6,"[[""jobs"", [[""pro"", 1, 1]]], [""drive"", [[""pro"", 1, 1], [""Innovation"", 0.125, 1]]], [""talk"", [[""pro"", 1, 1]]], [""salary packages"", [[""pro"", 1, 1], [""best"", 0.5009767441860465, 2]]], [""work challenging"", [[""pro"", 1, 1]]], [""focus.."", [[""pro"", 1, 1]]], [""challenging"", [[""pro"", 1, 1]]], [""work"", [[""challenging"", 0.10714285714285714, 1]]], [""Employee focus.."", [[""Great"", 0.26785714285714285, 1], [""pro"", 1, 1]]], [""organization"", [[""pro"", 1, 1]]], [""salary"", [[""best"", 0.5009767441860465, 2]]], [""Innovation drive"", [[""Amazing"", 0.375, 1]]], [""packages"", [[""pro"", 1, 1]]], [""Flat organization"", [[""pro"", 1, 1]]], [""industry"", [[""pro"", 1, 1]]]]"
5,"[[""place"", [[""Challenging"", 0.10714285714285714, 1]]]]"
9,"[[""place"", [[""better"", 0.54334, 2]]]]"
7,"[[""business"", [[""con"", -1, -1]]], [""products"", [[""con"", -1, -1]]], [""non-software guys"", [[""con"", -1, -1]]], [""customer need"", [[""con"", -1, -1]]], [""on products"", [[""con"", -1, -1]]], [""guys"", [[""con"", -1, -1]]], [""need"", [[""con"", -1, -1]]], [""capability"", [[""con"", -1, -1]]], [""software"", [[""con"", -1, -1]]], [""challenges"", [[""con"", -1, -1]]], [""engineering capability"", [[""con"", -1, -1]]], [""more challenges"", [[""con"", -1, -1]]]]"
3,"[[""middle"", [[""support"", 0.05113636363636364, 1]]], [""management"", [[""con"", -1, -1]]], [""applications"", [[""con"", -1, -1], [""support"", 0.05113636363636364, 1]]], [""feedback"", [[""clear"", -0.2, -1], [""con"", -1, -1]]], [""team members"", [[""clear"", -0.2, -1], [""con"", -1, -1]]], [""members"", [[""clear"", -0.2, -1], [""con"", -1, -1]]], [""managers"", [[""clear"", -0.2, -1], [""con"", -1, -1], [""most"", 0.0, 0]]], [""night"", [[""con"", -1, -1]]], [""of night"", [[""con"", -1, -1]]], [""work"", [[""hectic"", 0.0, 0], [""con"", -1, -1]]], [""micro management"", [[""con"", -1, -1]]]]"
10,"[[""place"", [[""pro"", 1, 1], [""good"", 0.5694444444444444, 2]]], [""for technology"", [[""passion"", 0.375, 1]]], [""technology"", [[""pro"", 1, 1], [""passion"", 0.375, 1]]]]"
2,"[[""guy"", [[""pro"", 1, 1], [""experienced"", 0.10416666666666667, 1]]], [""projects"", [[""great"", 0.26785714285714285, 1], [""pro"", 1, 1], [""Great"", 0.26785714285714285, 1]]], [""people"", [[""smart"", 0.3055555555555556, 1], [""pro"", 1, 1]]], [""employee"", [[""pro"", 1, 1], [""learn"", 0.08333333333333333, 1]]], [""smart people"", [[""pro"", 1, 1]]], [""benefits management"", [[""great"", 0.26785714285714285, 1]]], [""things"", [[""pro"", 1, 1]]], [""mentoring focus"", [[""pro"", 1, 1], [""strong"", 0.225, 1]]], [""management"", [[""great"", 0.26785714285714285, 1], [""pro"", 1, 1], [""sincere"", 0.5, 2], [""benefits"", 0.25, 1]]], [""\u2026 things"", [[""pro"", 1, 1]]], [""customers"", [[""pro"", 1, 1], [""sincere"", 0.5, 2], [""strong"", 0.225, 1]]], [""lots"", [[""pro"", 1, 1]]], [""package"", [[""good"", 0.5694444444444444, 2], [""pro"", 1, 1]]], [""new employee"", [[""pro"", 1, 1]]], [""experience"", [[""great"", 0.26785714285714285, 1], [""pro"", 1, 1]]], [""loads"", [[""pro"", 1, 1]]], [""focus"", [[""pro"", 1, 1], [""strong"", 0.225, 1]]], [""feeling"", [[""great"", 0.26785714285714285, 1], [""pro"", 1, 1]]]]"
1,"[[""customer"", [[""Great"", 0.26785714285714285, 1]]], [""customer experience"", [[""Great"", 0.26785714285714285, 1]]]]"
11,"[[""of bureaucracy"", [[""con"", -1, -1]]], [""Company..Lots"", [[""con"", -1, -1]]], [""bureaucracy"", [[""con"", -1, -1]]]]"
2203,"[[""money"", [[""pro"", 1, 1], [""value"", 0.10227272727272728, 1]]], [""environment"", [[""wonderful"", 0.75, 2], [""pro"", 1, 1]]], [""of money"", [[""value"", 0.10227272727272728, 1]]], [""friends"", [[""pro"", 1, 1]]]]"
